Fantonald	OGgangster	1	0.0
bb010g	HeroOfCanton	3	0.417
kwigginsRP	lucitribal	1	0.0
gabriel_swee_7	Fantonald	1	-0.34
VeryYes	eric1_z	1	0.0
FairEnough	Derpetologist	1	0.0613
gabriel_swee_7	eric1_z	1	0.0
Insertnamehere	EmberBreeze	1	0.7761
goej	goej	1	0.5093
Stardust	lucitribal	2	0.81195
dinnerandamovie	LiberalGuy	1	0.4926
Empoopled	gabriel_swee_7	15	-0.0648933333333
CptLici	toodles	1	0.0
Derpetologist	LiberalGuy	1	-0.5267
EmberBreeze	HeroOfCanton	3	-0.178933333333
Ludiko	HeroOfCanton	1	0.1901
insomnia	Chaos_Theory	1	-0.5267
jackripper	Aris	9	0.505255555556
Matlox	Aris	3	0.216633333333
KevinUxbridge	jaydog	2	0.27335
HeroOfCanton	Kr1ll1n	1	0.4215
KevinUxbridge	simkel	1	0.3612
lucitribal	Stardust	2	-0.22115
DeusExMachina	Meowsticgoesnya	1	0.3182
mediaboar	Aris	9	0.219122222222
Citrogenen	JohnBlood	1	0.0
Elathen	Stardust	1	-0.4588
EmberBreeze	toodles	1	-0.7269
Stardust	mmoates	1	0.5994
Pockkit	Ludiko	1	0.3612
Katantunoro	Chaos_Theory	1	-0.2244
DeusExMachina	Crossposted	8	-0.1776375
Pockkit	Aris	1	0.0
DoodleAComment	Aris	1	-0.1531
Empeopler	Aris	3	0.3484
eric1_z	removed	1	0.6705
jackripper	removed	1	-0.4135
mumrahte	hdaaackda	1	0.2263
lucitribal	Southchirep	1	-0.2263
Pink	teamvista	2	0.1591
Cedara	Aris	8	0.533875
Stardust	gabriel_swee_7	1	-0.3197
Fantonald	mmoates	1	0.2732
insomnia	Googolplexbyte	1	-0.937
eric1_z	LiberalGuy	2	-0.148
DarkKirby14	Crossposted	2	0.11315
Dino	JamesBond	1	0.8055
LiberalGuy	jackripper	1	0.8818
Empoopled	Crossposted	2	-0.58485
lucitribal	candacebernhard	1	0.5423
LJ6782	FairEnough	1	-0.0507
Claire	Aris	7	0.304642857143
Dino	Fantonald	1	-0.3802
FairEnough	lucitribal	1	0.4019
Eskandar	MattStrzok	1	0.3818
xan	Aris	1	0.273
DeusExMachina	Fantonald	7	0.348914285714
MisterWonka	Insertnamehere	1	0.6568
luis	Crossposted	1	0.4588
musicout	gabriel_swee_7	1	0.0
LiberalGuy	Crossposted	3	0.096
trivedirock91	Aris	1	0.9022
Cedara	Insertnamehere	1	-0.4215
SlicknessPerson	JasonSmithsy	1	0.4215
lizardgod	Aris	1	-0.705
MisterWonka	dickens	1	0.0
HeroOfCanton	laura	1	0.2263
LiberalGuy	captainfez	1	0.6801
Insertnamehere	Stardust	1	-0.5171
MikahMancer	toodles	1	-0.4404
heisenburger	Dino	1	0.3612
love	gabriel_swee_7	1	-0.2244
Citrogenen	Crossposted	2	0.93285
DribblingFan	JasonSmithsy	1	0.4404
goej	Stardust	1	0.1531
alfajonah	hemantkumar1965	1	0.3612
ZGV2cmFuZG9tCg	Aris	1	0.6369
FairEnough	gabriel_swee_7	2	0.7239
Citrogenen	Meowsticgoesnya	1	0.7506
SirBumper	Aris	2	0.7107
HeroOfCanton	candacebernhard	1	-0.4973
lucitribal	Fantonald	4	0.45735
LiberalGuy	Claire	1	-0.3182
KevinUxbridge	Musekyto	3	-0.315033333333
lucitribal	gabriel_swee_7	3	0.320833333333
lucitribal	MisterWonka	1	0.5719
Rasterpunk	Stardust	1	-0.296
goej	NULL	1	-0.7344
Katantunoro	HeroOfCanton	3	0.3604
Citrogenen	Aris	26	0.230769230769
Citrogenen	LiberalGuy	7	-0.124457142857
Ludiko	Chaos_Theory	1	0.5859
lucitribal	bementar	1	-0.2755
HeroOfCanton	Insertnamehere	2	0.2751
FairEnough	imaguy	1	0.9077
Kurt_blowbrain	EmberBreeze	1	-0.7351
HeroOfCanton	codywohlers	1	0.0
jackripper	Cedara	3	-0.0321333333333
