Insertnamehere	11	6	0.562133333333
Crossposted	4	1	0.9499
LiberalGuy	3	4	0.242775
Joker101	1	1	0.0
Citrogenen	12	7	0.0686428571429
rodterez	9	1	0.0
Kupa	1	1	0.0
Stardust	10	3	0.0
intuz	1	1	0.0
mufc	3	1	0.2263
Fantonald	11	90	0.0926066666667
Tay_Shi	1	2	0.0
LiberalGuy	21	41	0.0479317073171
Jonhalo	1	1	0.3346
Citrogenen	2	1	0.177
edmbeats	1	1	0.0
EmillyOwen	1	1	0.8519
energysavers	1	1	0.9471
Bil1ion	3	1	0.8934
