jennifer-mudge	Straight	Leo
maseratixxx	U	U
louise-redknapp	Straight	Scorpio
chris-hairston	U	Taurus
enid-raye-adams	Straight	Gemini
johnny-rembert	U	Capricorn
juan-marichal	U	Libra
anna-safroncik	Straight	Capricorn
jess-harnell	U	Capricorn
manon-von-gerkan	Straight	U
princess-irene-of-hesse-and-by-rhine	U	Cancer
julieth-restrepo	U	Sagittarius
monty-hall	Straight	Virgo
kareem-moore	U	Leo
mark-koenig	U	Cancer
brett-kern	U	Aquarius
louie-leonardo	Straight	U
liz-claman	U	Sagittarius
luke-prokopec	U	Pisces
arzu-gamze-kilinc	Straight	Aries
olivia-asplund	U	U
linda-cristal	Straight	Pisces
jessica-lynch	U	Taurus
maria-lyth	Straight	Sagittarius
patrick-delaney	Straight	U
dasha-denisenko	Straight	U
melissa-mikkelsen	U	U
steven-grayhm	Straight	Capricorn
matt-walbeck	U	Libra
axl-rose	Straight	Aquarius
jonatas-faro	Straight	Leo
brad-halsey	Straight	Aquarius
kelly-carlson	Straight	Aquarius
jennifer-cambra	U	U
mark-margolis	U	Sagittarius
christina-amphlett	Straight	Scorpio
edd-byrnes	Straight	Leo
gretchen-cryer	U	Libra
mathieu-dandenault	Straight	Aquarius
rachel-ticotin	Straight	Scorpio
adrien-semblat	U	U
matthew-goode	Straight	Aries
dong-won-kang	Straight	Capricorn
zara-cully	Straight	Aquarius
doug-davidson	Straight	Scorpio
gloria-jones	Straight	Libra
jennifer-gimenez	U	Aries
denise-bidot	Straight	Gemini
abree-anna	Straight	U
rebecca-olejniczak	U	U
melissa-george	Straight	Leo
j-r-murphy	U	Taurus
ariana-richards	Straight	Virgo
devrim-saltoglu	U	Cancer
david-westhead	U	Scorpio
sara-brinsfield	U	U
bethany-marie	U	U
agnes-laurent	Straight	Aquarius
jane-lynch	Lesbian	Cancer
jada-pinket-smith	U	U
steve-clevenger	U	Aries
david-peralta	U	Leo
karis-jagger	Straight	Scorpio
renia-louizidou	Straight	Libra
guethrun-bjarnadottir	U	Sagittarius
sistine-rose-stallone	Straight	Cancer
carlos-santana	Straight	Cancer
arch-hall-jr	U	Sagittarius
larenz-tate	Straight	Virgo
jacob-whitesides	U	Scorpio
aleksandra-zavyalova	Straight	Aquarius
jane-randall	Straight	Virgo
oliver-celestin	U	Pisces
mike-guman	U	Taurus
laverne-cox	U	Gemini
jacksepticeye	U	Aquarius
tina-cole	Straight	Leo
ida-buer	U	U
sean-ryan-fox	U	U
christina-makowski	Straight	U
jonah-bobo	U	Aquarius
gigi-gorgeous	Straight	Aries
edith-piaf	Straight	Sagittarius
adamari-lopez	Straight	Taurus
veronica-schneider	Straight	Scorpio
berk-cankat	Straight	Taurus
dan-hedaya	Straight	Leo
nicholas-lea	Straight	Cancer
carlos-fisher	U	Pisces
sebastian-telfair	Straight	Gemini
corey-maggette	U	Scorpio
vivica-genaux	U	Cancer
lauren-c-mayhew	U	Sagittarius
edith-larente	U	U
demis-roussos	U	Gemini
berk-ercer	Straight	U
lola-duenas	U	Libra
katiuscia-kanoro	U	Sagittarius
mikael-akerfeldt	Straight	Aries
meredith-foster	Straight	Scorpio
anna-churina	U	Cancer
mariana-coldebella	Straight	Aquarius
nonna-grishaeva	U	Gemini
chandelly-braz	U	Capricorn
chad-durbin	U	Sagittarius
katharina-mayberg	U	Aries
miguel	Straight	Scorpio
fita-benkhoff	U	Scorpio
georgia-gomide	U	Leo
svetlana-penkina	Straight	Gemini
maurice-gibb	Straight	Capricorn
erin-holland	Straight	Aries
valentina-pugachyova	Straight	Taurus
louis-tomlinson	Straight	Capricorn
kenan-dogulu	Straight	Gemini
trijntje-oosterhuis	U	Aquarius
priyanka-gandhi	U	Capricorn
aris-servetalis	U	U
helen-wood-actress	Straight	Gemini
jarek-pietka	Straight	U
odalys-ramirez	Straight	Cancer
beth-waugh	Straight	U
gerard-lawson	U	Capricorn
rupaul	Gay	Scorpio
lisa-ruocco	Straight	Sagittarius
raymond-pellegrin	U	Capricorn
liene-podina	U	U
adriana-abascal	Straight	Scorpio
chris-cheney	U	Capricorn
gitte-hanspal	U	U
ivana-mihic	U	Capricorn
walt-patulski	U	Aquarius
thierry-henry	Straight	Leo
yoo-gong	Straight	Cancer
anna-loos	Straight	Scorpio
graham-kerr	U	Aquarius
nicole-johnson	Straight	Cancer
cat-power	Straight	Aquarius
glenn-close	Straight	Pisces
barbara-minty	Straight	Gemini
peter-pan-actor	U	Aries
mike-minter	U	Capricorn
jaime-edmondson	Straight	Capricorn
barry-mcgovern	U	U
natasha-sims	U	U
kathryn-boyd	Straight	U
kristin-vahl	Straight	U
tony-battie	U	Aquarius
tony-goldwyn	Straight	Taurus
manos-papayannis	Straight	Sagittarius
tommi-rinne	U	Aquarius
velvet-d-amour	U	U
jacqueline-jossa	Straight	Scorpio
dwight-clark	Straight	Capricorn
isis-love	Bisexual	Virgo
leigh-nash	Straight	Cancer
katy-b	U	Taurus
meek-mill	Straight	Taurus
warner-madrigal	U	Aries
gary-allan	Straight	Sagittarius
ross-marquand	Straight	Leo
veronica-grabowski	Straight	Scorpio
madolyn-smith-osborne	Straight	Capricorn
gabriella-cilmi	U	Libra
